"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","DE"
"Eda",117.716500678222,-1.09369903191401,0.467266281372256,-2.34063332946273,0.0192510633163305,0.999968663926219,"Eda","down"
"Pcdh11x",737.237725865427,-0.75713704867142,0.345781753241669,-2.18963852653686,0.0285504626065816,0.999968663926219,"Pcdh11x","down"
"Glb1l2",135.530826961205,0.954129701948241,0.457952561640548,2.08346842417523,0.0372085469693492,0.999968663926219,"Glb1l2","up"
"Tagln",25.3105143119325,-4.84200221407954,1.30794405764715,-3.70199488714353,0.000213910929957075,0.999968663926219,"Tagln","down"
"Dbi",41.9925455956275,-1.51422712502657,0.682649563899236,-2.2181617115192,0.0265438083442292,0.999968663926219,"Dbi","down"
"Nrxn3",7072.53175031103,-0.652043110817519,0.298696541488687,-2.18296170276285,0.0290386304281371,0.999968663926219,"Nrxn3","down"
"Prkch",50.8749403292279,1.58147100194755,0.626938093697502,2.52253135970808,0.0116513560880226,0.999968663926219,"Prkch","up"
"Iqcg",106.630301412858,-1.08784668707918,0.54398362774018,-1.99977836023911,0.0455242022912869,0.999968663926219,"Iqcg","down"
"Rpl35a",766.34410849862,-0.888781429941633,0.328261775375003,-2.70753860673025,0.00677841863443891,0.999968663926219,"Rpl35a","down"
"Cartpt",138.315331240984,1.44200957539758,0.547389132794086,2.63434089024933,0.00843008038776143,0.999968663926219,"Cartpt","up"
"Lgsn",16.2335084112131,2.37230444769095,1.06504492006789,2.2274219640799,0.0259190858434839,0.999968663926219,"Lgsn","up"
"Des",4.13186651239767,-5.30436928925321,2.69847387897284,-1.96569228651281,0.0493341663738308,0.999968663926219,"Des","down"
"Plekhg1",161.616180898013,1.10244581416398,0.44746578412517,2.4637544439724,0.0137490269359213,0.999968663926219,"Plekhg1","up"
"Kitlg",107.760842831111,1.22455026197623,0.480930981410282,2.54620789533117,0.0108900310529162,0.999968663926219,"Kitlg","up"
"Ptprq",11.7064620189097,-3.12234983418592,1.44485533692164,-2.16101207809377,0.0306944064350904,0.999968663926219,"Ptprq","down"
"Tac3",21.9634305800564,-1.91728076052178,0.974530081949977,-1.96739002318473,0.0491382636540494,0.999968663926219,"Tac3","down"
"Grid2ip",62.1054736229227,1.52115886103727,0.643709024607911,2.36311563592545,0.0181220140693388,0.999968663926219,"Grid2ip","up"
"Hcrt",32.1895295976118,-2.81763583725005,0.845556288596655,-3.33228653757209,0.000861355207927559,0.999968663926219,"Hcrt","down"
"Tcf7l2",199.690215636452,1.34706217356933,0.415494665911379,3.24206851275594,0.0011866549100411,0.999968663926219,"Tcf7l2","up"
"Ahnak",8.94771051014038,-3.26439037678803,1.61241429874995,-2.02453574079491,0.0429150584016641,0.999968663926219,"Ahnak","down"
"Gal",49.0724010713469,-3.25513986775979,0.748505865633224,-4.34885017902431,1.36853161245307e-05,0.257708187941037,"Gal","down"
"Rnf220",400.365194692686,0.8096706059031,0.376632393892847,2.14976358654231,0.0315739198595642,0.999968663926219,"Rnf220","up"
"Rps6",74.2831919761837,-1.10414632022587,0.562403457939267,-1.96326374711784,0.049615535576176,0.999968663926219,"Rps6","down"
"Ptpn3",53.6639255079549,1.85191885190816,0.656062141724193,2.8227796334066,0.00476092833094269,0.999968663926219,"Ptpn3","up"
"Lingo2",5106.28585090045,-0.662535829624886,0.307545528115491,-2.15426910508055,0.031219074244195,0.999968663926219,"Lingo2","down"
"Sema3e",306.442250937668,1.13249461588223,0.474384078651059,2.38729474037692,0.0169728777043915,0.999968663926219,"Sema3e","up"
"Tafa4",16.0490904337356,2.90959041764525,1.10659375497826,2.62932119809623,0.00855555098343789,0.999968663926219,"Tafa4","up"
"Tanc1",53.4427400754486,1.48979042163182,0.618955132174517,2.40694412920994,0.0160866306800189,0.999968663926219,"Tanc1","up"
"Myl9",18.3667532287024,-2.87906580868175,1.3414852425635,-2.14617777172116,0.0318587983037564,0.999968663926219,"Myl9","down"
"Vim",21.23411982404,-2.27382535640844,1.08343359148808,-2.0987214853523,0.0358414595542858,0.999968663926219,"Vim","down"
"Cenpn",69.4866938239688,1.22438285687933,0.623746095707468,1.9629507347707,0.0496518987399049,0.999968663926219,"Cenpn","up"
"Sox2",781.466504162849,-0.66817909867934,0.326271928968044,-2.04792088854443,0.0405677517418703,0.999968663926219,"Sox2","down"
"Shox2",11.4505078976607,2.67583811967901,1.31133187727926,2.04054989132943,0.0412955871700049,0.999968663926219,"Shox2","up"
"Synpo2",79.791940642093,1.46707788629784,0.53392978217149,2.74769817171695,0.00600152285069944,0.999968663926219,"Synpo2","up"
