"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","DE"
"Sytl4",25.830283869069,-2.04474201719594,0.899984704999144,-2.27197418560339,0.023088069539203,NA,"Sytl4","down"
"Gpc4",62.9489903743893,-1.66572211271362,0.636014100951896,-2.61900185895345,0.00881874669371178,0.999962154763613,"Gpc4","down"
"Amotl1",416.999264845373,0.718602011099069,0.343828001334705,2.09000432864551,0.0366174108648212,0.999962154763613,"Amotl1","up"
"Tagln",35.3645212791053,-2.92096501992603,1.30834935301794,-2.23255739240311,0.0255781465072638,NA,"Tagln","down"
"Cilk1",493.763511456683,0.839069579774215,0.337411089997391,2.48678720009085,0.0128902477666729,0.999962154763613,"Cilk1","up"
"Esyt3",68.6518415303183,1.2029529967453,0.561013401327337,2.14425001951674,0.0320128591790384,0.999962154763613,"Esyt3","up"
"Cpne4",1629.96640956624,0.710709981134894,0.306326338280726,2.32010732450822,0.0203350722122337,0.999962154763613,"Cpne4","up"
"Arpp21",2818.82612674152,0.756042027242309,0.285090446316971,2.65193743602942,0.00800313698524606,0.999962154763613,"Arpp21","up"
"Tgfbr2",38.4916281552298,1.85716433631189,0.91431424949892,2.03121009798293,0.0422336864696635,0.999962154763613,"Tgfbr2","up"
"Cck",140.679712577849,1.90380008659212,0.762631727473919,2.49635573502575,0.0125476696501476,0.999962154763613,"Cck","up"
"Lmo7",199.805157517893,0.974176933555253,0.386499040613312,2.52051578707515,0.0117182981573068,0.999962154763613,"Lmo7","up"
"Ptk2b",197.454630135305,1.59727873858274,0.407702730654371,3.91775334940503,8.93780891335388e-05,0.0697585941041701,"Ptk2b","up"
"Extl3",378.478691344332,0.693860536753238,0.340940673596031,2.03513570098524,0.0418372206272782,0.999962154763613,"Extl3","up"
"Msra",940.306483646388,0.770992052019847,0.284435506630761,2.71060410548782,0.00671607616505529,0.999962154763613,"Msra","up"
"Slc7a8",426.631183009595,0.847853850500669,0.354380133139672,2.39249825600834,0.0167341076230899,0.999962154763613,"Slc7a8","up"
"Anxa11",43.0643050371841,1.81548962590239,0.84175543403876,2.15678990890695,0.0310220377436764,0.999962154763613,"Anxa11","up"
"Prkcd",71.2507072513326,1.87652559912998,0.702554774357623,2.67100255755256,0.00756250705994082,0.999962154763613,"Prkcd","up"
"Mfsd10",352.606615064636,-0.903383425685882,0.401921873542014,-2.24765927199891,0.0245979249243075,0.999962154763613,"Mfsd10","down"
"Adcy1",464.684935950248,0.774669013564953,0.394920002529186,1.96158464652016,0.0498108612306706,0.999962154763613,"Adcy1","up"
"Sel1l3",447.816753100927,0.763741565360477,0.349844441145398,2.18308904054605,0.0290292535017765,0.999962154763613,"Sel1l3","up"
"Arap2",619.95585620651,1.34882798817323,0.408177632540942,3.30451225310083,0.00095141816892232,0.330862096743878,"Arap2","up"
"Gabra4",792.691106727952,1.18248548333867,0.428492957103721,2.75963808444217,0.00578654269044003,0.999962154763613,"Gabra4","up"
"Slc4a4",1283.78649889828,0.802821669747278,0.309509465921193,2.593851749761,0.00949074008088873,0.999962154763613,"Slc4a4","up"
"Prkg2",138.837801072425,1.28930140583801,0.47567785429546,2.71045076871958,0.00671918225835262,0.999962154763613,"Prkg2","up"
"Rasgef1b",1751.17577632082,0.727964896259162,0.301349986293521,2.41567920812882,0.0157058916312853,0.999962154763613,"Rasgef1b","up"
"Aff1",156.158309027494,0.894464363328946,0.440532770145825,2.03041504275121,0.0423143688703063,0.999962154763613,"Aff1","up"
"Tnfrsf11a",88.7726906183405,1.02413567882165,0.500421750653281,2.04654509418242,0.0407027705380456,0.999962154763613,"Tnfrsf11a","up"
"Ptpn4",2927.47747422754,0.634091260304938,0.305702920397859,2.07420740200877,0.0380600530911251,0.999962154763613,"Ptpn4","up"
"Sctr",60.4968137306012,2.55273482504275,0.757827508533621,3.36849058169217,0.000755809792696537,0.283768837855319,"Sctr","up"
"Tmem163",1055.45677139279,0.577861396652806,0.282456987046308,2.04583856358302,0.0407722564986032,0.999962154763613,"Tmem163","up"
"Sox13",230.6628351429,0.731788953790259,0.371210813970996,1.97135677692686,0.0486830813157882,0.999962154763613,"Sox13","up"
"Nek7",370.47916617454,0.695747911199561,0.336875174118378,2.06529885445068,0.0388947319034755,0.999962154763613,"Nek7","up"
"Rgs16",84.2628177933395,1.65283472378619,0.791329379784989,2.08868110550284,0.0367364387996742,0.999962154763613,"Rgs16","up"
"Fam163a",116.997673626819,1.14864346785379,0.556691166327447,2.06334056893972,0.0390802821771698,0.999962154763613,"Fam163a","up"
"Rcsd1",40.5282055152634,1.46272233000211,0.713502599661472,2.05005886551235,0.0403586868236509,0.999962154763613,"Rcsd1","up"
"Ildr2",1001.33090315575,1.06971521732085,0.306395742916006,3.49128616194286,0.00048070109111732,0.213282101358847,"Ildr2","up"
"Stum",253.364929126526,1.63629595046429,0.42714363643984,3.83078620602311,0.000127734458384267,0.080486852656531,"Stum","up"
"Stxbp6",1385.85196886154,0.783204203505277,0.373825639782516,2.09510563256423,0.036161603354492,0.999962154763613,"Stxbp6","up"
"Foxg1",196.929561418203,-1.05612534786889,0.53881993917264,-1.96007102018268,0.0499874899010821,0.999962154763613,"Foxg1","down"
"Slc24a4",258.264272610358,0.852081829264356,0.387747294380456,2.19751843949244,0.0279834410253365,0.999962154763613,"Slc24a4","up"
"Clmn",349.952475782147,1.12385335903295,0.385706311154039,2.91375413503182,0.00357111037803889,0.918989544684527,"Clmn","up"
"Eml1",559.346249200208,0.898996637215778,0.319391537911947,2.81471651720348,0.00488202782734009,0.999962154763613,"Eml1","up"
"Inf2",62.2465421873963,1.41760947848066,0.572222744192524,2.47737352782277,0.0132353306549671,0.999962154763613,"Inf2","up"
"Vipr2",161.027576070173,1.87702309839042,0.555255572941192,3.38046692345259,0.000723627841927109,0.282225110118105,"Vipr2","up"
"Plekhg3",33.1843650966614,1.50578814488601,0.766916915039911,1.96343060813524,0.0495961601840167,NA,"Plekhg3","up"
"Prkch",308.09835226019,2.0345236159662,0.415560122543642,4.89585863896874,9.78774090522238e-07,0.0015742357778437,"Prkch","up"
"Nin",498.039766529938,0.792797357160391,0.326412682080534,2.42881910135093,0.015148088357519,0.999962154763613,"Nin","up"
"Etv5",203.866072022331,0.796871483041606,0.405578198159425,1.96477889259809,0.0494398342069484,0.999962154763613,"Etv5","up"
"Iqcg",308.240337901053,-0.980685269816334,0.3918923400087,-2.50243541324274,0.0123342128098764,0.999962154763613,"Iqcg","down"
"Rpl35a",2131.90169620521,-0.810333933207304,0.294602435564438,-2.7506016087571,0.00594859398307893,0.999962154763613,"Rpl35a","down"
"Apod",24.3222089635707,2.24894934936373,0.922826362254749,2.43702330292002,0.0148087250138321,NA,"Apod","up"
"Boc",78.0943555973468,1.0496204699918,0.526868935851885,1.99218514998362,0.0463507469687474,0.999962154763613,"Boc","up"
"Phldb2",116.472885749637,0.950640813787765,0.455806178152305,2.08562511732808,0.0370125943179014,0.999962154763613,"Phldb2","up"
"Htr1f",627.120474357415,0.751709329851426,0.334979046754562,2.24404880584128,0.024829261302557,0.999962154763613,"Htr1f","up"
"Stk32a",229.768211928583,-0.799688315372914,0.403997767527595,-1.97943746141689,0.0477667742655254,0.999962154763613,"Stk32a","down"
"CUNH5orf46",14.5831259555326,2.67862390273952,1.2397520561972,2.16061259132403,0.0307252779634386,NA,"CUNH5orf46","up"
"Myot",14.4517415858153,3.03819116101273,1.48921338436715,2.04013151701817,0.0413372283711453,NA,"Myot","up"
"Snx24",812.778904139076,0.641868209237156,0.320795327066753,2.00086520931021,0.0454069177214931,0.999962154763613,"Snx24","up"
"Piezo2",254.620544666151,0.802030812345252,0.407438191524429,1.96847234508001,0.0490137150379731,0.999962154763613,"Piezo2","up"
"Ccbe1",47.21134143399,1.96481960718615,0.857646447062081,2.29094356295273,0.0219666780047587,0.999962154763613,"Ccbe1","up"
"Myo5b",192.014344968028,0.792799096515857,0.382273642863144,2.07390467880017,0.0380881644384904,0.999962154763613,"Myo5b","up"
"Egflam",78.3666519691616,1.21374689357646,0.614894749857474,1.97390999656086,0.0483919778848636,0.999962154763613,"Egflam","up"
"Rgs7bp",1727.40946100744,0.703437860837684,0.321233170112763,2.18980456031597,0.0285384138714137,0.999962154763613,"Rgs7bp","up"
"Mef2c",885.219491141795,0.638411865061019,0.298012865894534,2.14222920592613,0.0321750424044166,0.999962154763613,"Mef2c","up"
"Grm4",151.23385445405,1.16908138834595,0.471972927808215,2.47700942038142,0.0132488405025307,0.999962154763613,"Grm4","up"
"Adarb1",1880.12919065529,0.709697950454703,0.29151774223214,2.43449316333398,0.014912661565261,0.999962154763613,"Adarb1","up"
"Npas2",765.640244051002,1.085013304966,0.297773199526775,3.64375741903677,0.000268686667675324,0.138287654119136,"Npas2","up"
"Lgsn",58.1377840012282,2.85390777366527,0.791458423173882,3.60588464296155,0.000311091319056106,0.153954307780574,"Lgsn","up"
"Kcnk12",187.336541629224,0.978221210876538,0.41275036244646,2.37000690945106,0.01778775284177,0.999962154763613,"Kcnk12","up"
"Rspo2",198.988347860491,1.06538680045936,0.473968520483898,2.24780075978813,0.0245888974109242,0.999962154763613,"Rspo2","up"
"Deptor",768.338408053011,0.964037600690081,0.29567814458383,3.260429011576,0.00111243810201842,0.376290368488761,"Deptor","up"
"Kctd17",192.979104427388,0.876334364275063,0.395747497020801,2.21437752827784,0.0268028194193045,0.999962154763613,"Kctd17","up"
"Triobp",183.696998372387,1.03394727429779,0.445715153592238,2.31974898309986,0.0203544603522156,0.999962154763613,"Triobp","up"
"Kcnh3",20.7573678472901,1.96542225399208,0.957059633043909,2.05360479758308,0.040013957435707,NA,"Kcnh3","up"
"Myo1b",405.195818248304,0.84406843381813,0.354448719829699,2.38135557161464,0.017249053270304,0.999962154763613,"Myo1b","up"
"Pard3b",6055.3559189715,-0.590492013799539,0.296852582183177,-1.98917593863195,0.0466817867537371,0.999962154763613,"Pard3b","down"
"Sphkap",1492.52394080397,0.653971284688939,0.273612236953319,2.39013902291407,0.0168419962226332,0.999962154763613,"Sphkap","up"
"Enosf1",28.2570645347799,3.38573003616383,1.01252464836779,3.34384949701887,0.000826245480618761,NA,"Enosf1","up"
"Cnksr3",117.619308300191,2.03922087286157,0.59577136120571,3.42282460293936,0.000619740528232296,0.257232302476289,"Cnksr3","up"
"Mthfd1l",697.284190062737,0.730325200353461,0.322410785839421,2.26520089410782,0.0235003543079085,0.999962154763613,"Mthfd1l","up"
"Plekhg1",1252.47066930494,2.43687051782773,0.412227980656762,5.91146315188335,3.39082124907403e-09,2.2545009164717e-05,"Plekhg1","up"
"Dcbld1",208.821977230779,0.741152548143207,0.371657438877508,1.99418192834148,0.0461321763477509,0.999962154763613,"Dcbld1","up"
"Nt5dc3",326.165652274131,0.700561088571869,0.350948990214197,1.99619063768866,0.0459131761406475,0.999962154763613,"Nt5dc3","up"
"Kitlg",632.974122187662,1.40159493376993,0.337865073512172,4.14838657100625,3.34826672585989e-05,0.0308239514336157,"Kitlg","up"
"Nts",81.5705256925497,-1.55529738259866,0.60451712436749,-2.57279292828301,0.0100881545641395,0.999962154763613,"Nts","down"
