"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","DE"
"Lancl3",45.709306715005,-0.559442417955229,0.281655909341028,-1.98626195794762,0.0470042443815252,0.99996697399753,"Lancl3","down"
"Kantr",73.5986298899111,-0.502229616329808,0.192215782076108,-2.61284276923188,0.00897926008586446,0.99996697399753,"Kantr","down"
"Frmpd4",927.24845690952,0.234220233738582,0.106866936004396,2.19169972019173,0.0284011959640335,0.99996697399753,"Frmpd4","up"
"Tmsb4x",161.739909823781,0.255706703231929,0.127245572219967,2.00955285728838,0.0444785350244021,0.99996697399753,"Tmsb4x","up"
"Ca5b",55.1242376212257,-0.761217350598559,0.264248220454889,-2.88069054651784,0.00396805019012269,0.866481932204919,"Ca5b","down"
"Hdac8",138.325233360914,0.357373490123127,0.154146702262649,2.31839854422706,0.0204276711066694,0.99996697399753,"Hdac8","up"
"Phka1",58.3213835475024,-0.46438005620397,0.217569439873044,-2.13439928178767,0.0328101103350535,0.99996697399753,"Phka1","down"
"Klhl4",16.1592532718651,0.820375733209389,0.394982572755741,2.07699222648163,0.0378022766901289,0.99996697399753,"Klhl4","up"
"Pcdh11x",557.912182056908,-0.208524064695575,0.0957733170972075,-2.17726681100466,0.0294606659567121,0.99996697399753,"Pcdh11x","down"
"Fam133a",31.7308435022107,-0.617007782881634,0.270473482629795,-2.28121358472007,0.0225358112796565,0.99996697399753,"Fam133a","down"
"Gprasp2",209.451439574186,-0.248175345306759,0.117033065105792,-2.12055751152396,0.0339590568904385,0.99996697399753,"Gprasp2","down"
"Htr2c",483.329815160127,-0.25743547987193,0.125946226296221,-2.04401106283607,0.0409524542640378,0.99996697399753,"Htr2c","down"
"Klhl13",42.5676556987081,-0.617047205318261,0.232159191781165,-2.65786248041342,0.00786379739378241,0.99996697399753,"Klhl13","down"
"Slc25a5",31.2349156685817,0.568835168240619,0.260161786359161,2.1864670296172,0.0287814542940103,0.99996697399753,"Slc25a5","up"
"Gpc3",53.1141572549733,-0.622005598176183,0.237002601907306,-2.62446738208999,0.00867846045906876,0.99996697399753,"Gpc3","down"
"Aff2",483.502231565548,-0.206333551637399,0.103730112379085,-1.98913841800679,0.0466859268800327,0.99996697399753,"Aff2","down"
"Gabra3",158.617807868403,-0.278074257978,0.137952195545926,-2.01572912179876,0.0438283086702752,0.99996697399753,"Gabra3","down"
"Alkbh8",83.7121987017183,0.359766289336827,0.168293078601077,2.13773669319829,0.0325381196455463,0.99996697399753,"Alkbh8","up"
"Pdgfd",19.3231689880043,1.31050044417371,0.476277573548817,2.75154766244603,0.00593143876500777,0.981179530278015,"Pdgfd","up"
"Trpc6",12.9191304606529,-1.04626967475967,0.446983208388662,-2.34073597200975,0.0192457720432897,0.99996697399753,"Trpc6","down"
"Ccdc82",82.5608682026805,-0.454081154609754,0.178754486807851,-2.54025038877967,0.0110773132974016,0.99996697399753,"Ccdc82","down"
"Maml2",127.459139544876,0.376921356859808,0.149683360363763,2.51812463285036,0.0117981564904048,0.99996697399753,"Maml2","up"
"Fat3",517.264654708706,-0.245012150471766,0.110963205355456,-2.20804860211907,0.0272408853327903,0.99996697399753,"Fat3","down"
"Naalad2",21.0223787296963,-0.699625056971838,0.325411857365555,-2.14996792875284,0.0315577517079618,0.99996697399753,"Naalad2","down"
"Elavl3",314.717438303047,-0.292827049161373,0.0989686688273063,-2.95878536744125,0.00308854132644293,0.795662811053644,"Elavl3","down"
"Thy1",41.2661484030302,-0.46914794428544,0.234515811659887,-2.00049600478894,0.0454467308996668,0.99996697399753,"Thy1","down"
"Usp2",18.4781521523559,0.811562984782798,0.340033432202089,2.38671526951641,0.0169996516073781,0.99996697399753,"Usp2","up"
"Alg9",63.3064475318029,-0.450722749827765,0.20855889937471,-2.1611293077356,0.0306853522223881,0.99996697399753,"Alg9","down"
"Smad3",4.18212026814246,1.92594811227447,0.775922978762611,2.48213825983842,0.0130596592125308,NA,"Smad3","up"
"Rora",1232.1471091062,0.268308674348696,0.102159012324636,2.62638281482282,0.00862977015473423,0.99996697399753,"Rora","up"
"Unc13c",162.540937341153,-0.51142577752879,0.131759592780236,-3.88150696839058,0.000103811176836687,0.0987883129728196,"Unc13c","down"
"Mlip",19.0910090982318,0.845992414771954,0.358378221148907,2.36061335440482,0.018244741526079,0.99996697399753,"Mlip","up"
